name	title	source	organism	experiment	well	individual	batch	description	molecule	processed1	processed2	processed3	processed4	processed5	processed6	raw
Sample 0021	02192018-B09-NA18517	LCL-derived iPSC	Homo sapiens	02192018	B09	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B09-NA18517.fastq.gz
Sample 0022	02192018-B10-NA18913	LCL-derived iPSC	Homo sapiens	02192018	B10	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B10-NA18913.fastq.gz
Sample 0023	02192018-B11-NA19193	LCL-derived iPSC	Homo sapiens	02192018	B11	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B11-NA19193.fastq.gz
Sample 0024	02192018-B12-NA18913	LCL-derived iPSC	Homo sapiens	02192018	B12	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B12-NA18913.fastq.gz
Sample 0025	02192018-C01-NA18913	LCL-derived iPSC	Homo sapiens	02192018	C01	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C01-NA18913.fastq.gz
Sample 0026	02192018-C02-NA19210	LCL-derived iPSC	Homo sapiens	02192018	C02	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C02-NA19210.fastq.gz
Sample 0027	02192018-C03-NA18913	LCL-derived iPSC	Homo sapiens	02192018	C03	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C03-NA18913.fastq.gz
Sample 0028	02192018-C04-NA19193	LCL-derived iPSC	Homo sapiens	02192018	C04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C04-NA19193.fastq.gz
Sample 0029	02192018-C05-NA19193	LCL-derived iPSC	Homo sapiens	02192018	C05	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C05-NA19193.fastq.gz
Sample 0030	02192018-C06-NA19193	LCL-derived iPSC	Homo sapiens	02192018	C06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C06-NA19193.fastq.gz
Sample 0031	02192018-C07-NA18517	LCL-derived iPSC	Homo sapiens	02192018	C07	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C07-NA18517.fastq.gz
Sample 0032	02192018-C08-NA19193	LCL-derived iPSC	Homo sapiens	02192018	C08	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C08-NA19193.fastq.gz
Sample 0033	02192018-C09-NA19210	LCL-derived iPSC	Homo sapiens	02192018	C09	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C09-NA19210.fastq.gz
Sample 0034	02192018-C10-NA18913	LCL-derived iPSC	Homo sapiens	02192018	C10	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C10-NA18913.fastq.gz
Sample 0035	02192018-C11-NA18913	LCL-derived iPSC	Homo sapiens	02192018	C11	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C11-NA18913.fastq.gz
Sample 0036	02192018-C12-NA19193	LCL-derived iPSC	Homo sapiens	02192018	C12	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-C12-NA19193.fastq.gz
Sample 0037	02192018-D01-NA19193	LCL-derived iPSC	Homo sapiens	02192018	D01	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D01-NA19193.fastq.gz
Sample 0038	02192018-D02-NA19193	LCL-derived iPSC	Homo sapiens	02192018	D02	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D02-NA19193.fastq.gz
Sample 0039	02192018-D03-NA19210	LCL-derived iPSC	Homo sapiens	02192018	D03	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D03-NA19210.fastq.gz
Sample 0040	02192018-D04-NA18913	LCL-derived iPSC	Homo sapiens	02192018	D04	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D04-NA18913.fastq.gz
Sample 0041	02192018-D05-NA19210	LCL-derived iPSC	Homo sapiens	02192018	D05	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D05-NA19210.fastq.gz
Sample 0042	02192018-D06-NA18517	LCL-derived iPSC	Homo sapiens	02192018	D06	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D06-NA18517.fastq.gz
Sample 0043	02192018-D07-NA18517	LCL-derived iPSC	Homo sapiens	02192018	D07	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D07-NA18517.fastq.gz
Sample 0044	02192018-D08-NA18913	LCL-derived iPSC	Homo sapiens	02192018	D08	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D08-NA18913.fastq.gz
Sample 0045	02192018-D09-NA18517	LCL-derived iPSC	Homo sapiens	02192018	D09	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D09-NA18517.fastq.gz
Sample 0046	02192018-D10-NA19193	LCL-derived iPSC	Homo sapiens	02192018	D10	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D10-NA19193.fastq.gz
Sample 0047	02192018-D11-NA19210	LCL-derived iPSC	Homo sapiens	02192018	D11	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D11-NA19210.fastq.gz
Sample 0048	02192018-D12-NA18913	LCL-derived iPSC	Homo sapiens	02192018	D12	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-D12-NA18913.fastq.gz
Sample 0049	02192018-E01-NA19210	LCL-derived iPSC	Homo sapiens	02192018	E01	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E01-NA19210.fastq.gz
Sample 0050	02192018-E02-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E02	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E02-NA18517.fastq.gz
Sample 0051	02192018-E03-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E03	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E03-NA18517.fastq.gz
Sample 0052	02192018-E04-NA19193	LCL-derived iPSC	Homo sapiens	02192018	E04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E04-NA19193.fastq.gz
Sample 0053	02192018-E05-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E05	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E05-NA18517.fastq.gz
Sample 0054	02192018-E06-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E06	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E06-NA18517.fastq.gz
Sample 0055	02192018-E07-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E07	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E07-NA18517.fastq.gz
Sample 0056	02192018-E08-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E08	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E08-NA18517.fastq.gz
Sample 0057	02192018-E09-NA18517	LCL-derived iPSC	Homo sapiens	02192018	E09	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E09-NA18517.fastq.gz
Sample 0058	02192018-E10-NA19193	LCL-derived iPSC	Homo sapiens	02192018	E10	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E10-NA19193.fastq.gz
Sample 0059	02192018-E11-NA19193	LCL-derived iPSC	Homo sapiens	02192018	E11	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E11-NA19193.fastq.gz
Sample 0060	02192018-E12-NA19210	LCL-derived iPSC	Homo sapiens	02192018	E12	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-E12-NA19210.fastq.gz
Sample 0061	02192018-F01-NA18517	LCL-derived iPSC	Homo sapiens	02192018	F01	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F01-NA18517.fastq.gz
Sample 0062	02192018-F02-NA19210	LCL-derived iPSC	Homo sapiens	02192018	F02	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F02-NA19210.fastq.gz
Sample 0063	02192018-F03-NA19210	LCL-derived iPSC	Homo sapiens	02192018	F03	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F03-NA19210.fastq.gz
Sample 0064	02192018-F04-NA18517	LCL-derived iPSC	Homo sapiens	02192018	F04	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F04-NA18517.fastq.gz
Sample 0065	02192018-F05-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F05	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F05-NA19193.fastq.gz
Sample 0066	02192018-F06-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F06-NA19193.fastq.gz
Sample 0067	02192018-F07-NA18517	LCL-derived iPSC	Homo sapiens	02192018	F07	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F07-NA18517.fastq.gz
Sample 0068	02192018-F08-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F08	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F08-NA19193.fastq.gz
Sample 0069	02192018-F09-NA18913	LCL-derived iPSC	Homo sapiens	02192018	F09	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F09-NA18913.fastq.gz
Sample 0070	02192018-F10-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F10	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F10-NA19193.fastq.gz
Sample 0071	02192018-F11-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F11	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F11-NA19193.fastq.gz
Sample 0072	02192018-F12-NA19193	LCL-derived iPSC	Homo sapiens	02192018	F12	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-F12-NA19193.fastq.gz
Sample 0073	02192018-G01-NA18517	LCL-derived iPSC	Homo sapiens	02192018	G01	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G01-NA18517.fastq.gz
Sample 0074	02192018-G02-NA18517	LCL-derived iPSC	Homo sapiens	02192018	G02	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G02-NA18517.fastq.gz
Sample 0075	02192018-G03-NA19193	LCL-derived iPSC	Homo sapiens	02192018	G03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G03-NA19193.fastq.gz
Sample 0076	02192018-G04-NA19210	LCL-derived iPSC	Homo sapiens	02192018	G04	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G04-NA19210.fastq.gz
Sample 0077	02192018-G05-NA19193	LCL-derived iPSC	Homo sapiens	02192018	G05	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G05-NA19193.fastq.gz
Sample 0078	02192018-G06-NA19210	LCL-derived iPSC	Homo sapiens	02192018	G06	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G06-NA19210.fastq.gz
Sample 0079	02192018-G07-NA18913	LCL-derived iPSC	Homo sapiens	02192018	G07	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G07-NA18913.fastq.gz
Sample 0080	02192018-G08-NA19210	LCL-derived iPSC	Homo sapiens	02192018	G08	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G08-NA19210.fastq.gz
Sample 0081	02192018-G09-NA18913	LCL-derived iPSC	Homo sapiens	02192018	G09	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G09-NA18913.fastq.gz
Sample 0082	02192018-G10-NA18913	LCL-derived iPSC	Homo sapiens	02192018	G10	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G10-NA18913.fastq.gz
Sample 0083	02192018-G11-NA19193	LCL-derived iPSC	Homo sapiens	02192018	G11	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G11-NA19193.fastq.gz
Sample 0084	02192018-G12-NA18517	LCL-derived iPSC	Homo sapiens	02192018	G12	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-G12-NA18517.fastq.gz
Sample 0085	02192018-H01-NA19210	LCL-derived iPSC	Homo sapiens	02192018	H01	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H01-NA19210.fastq.gz
Sample 0086	02192018-H02-NA18517	LCL-derived iPSC	Homo sapiens	02192018	H02	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H02-NA18517.fastq.gz
Sample 0087	02192018-H03-NA19193	LCL-derived iPSC	Homo sapiens	02192018	H03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H03-NA19193.fastq.gz
Sample 0088	02192018-H04-NA18517	LCL-derived iPSC	Homo sapiens	02192018	H04	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H04-NA18517.fastq.gz
Sample 0089	02192018-H05-NA18913	LCL-derived iPSC	Homo sapiens	02192018	H05	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H05-NA18913.fastq.gz
Sample 0090	02192018-H06-NA19193	LCL-derived iPSC	Homo sapiens	02192018	H06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H06-NA19193.fastq.gz
Sample 0091	02192018-H07-NA19193	LCL-derived iPSC	Homo sapiens	02192018	H07	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H07-NA19193.fastq.gz
Sample 0092	02192018-H08-NA18517	LCL-derived iPSC	Homo sapiens	02192018	H08	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H08-NA18517.fastq.gz
Sample 0093	02192018-H09-NA19210	LCL-derived iPSC	Homo sapiens	02192018	H09	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-H09-NA19210.fastq.gz
